WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 02.52',W 090 07.96',400
2,N 45 48.49',W 090 19.65',400
2,N 45 48.49',W 090 19.65',100
1,N 46 02.52',W 090 07.96',100
1,N 46 02.52',W 090 07.96',400
3,N 45 49.03',W 090 20.99',400
3,N 45 49.03',W 090 20.99',100
1,N 46 02.52',W 090 07.96',100
4,N 46 03.06',W 090 09.31',400
3,N 45 49.03',W 090 20.99',400
3,N 45 49.03',W 090 20.99',100
4,N 46 03.06',W 090 09.31',100
4,N 46 03.06',W 090 09.31',400
6,N 45 49.57',W 090 22.33',400
6,N 45 49.57',W 090 22.33',100
4,N 46 03.06',W 090 09.31',100
5,N 46 03.60',W 090 10.66',400
6,N 45 49.57',W 090 22.33',400
6,N 45 49.57',W 090 22.33',100
5,N 46 03.60',W 090 10.66',100
5,N 46 03.60',W 090 10.66',400
7,N 45 50.11',W 090 23.67',400
7,N 45 50.11',W 090 23.67',100
5,N 46 03.60',W 090 10.66',100
8,N 46 04.14',W 090 12.01',400
7,N 45 50.11',W 090 23.67',400
7,N 45 50.11',W 090 23.67',100
8,N 46 04.14',W 090 12.01',100
8,N 46 04.14',W 090 12.01',400
10,N 45 50.65',W 090 25.01',400
10,N 45 50.65',W 090 25.01',100
8,N 46 04.14',W 090 12.01',100
9,N 46 04.68',W 090 13.36',400
10,N 45 50.65',W 090 25.01',400
10,N 45 50.65',W 090 25.01',100
9,N 46 04.68',W 090 13.36',100
9,N 46 04.68',W 090 13.36',400
11,N 45 51.19',W 090 26.36',400
11,N 45 51.19',W 090 26.36',100
9,N 46 04.68',W 090 13.36',100
12,N 46 05.22',W 090 14.70',400
11,N 45 51.19',W 090 26.36',400
11,N 45 51.19',W 090 26.36',100
12,N 46 05.22',W 090 14.70',100
0,N 45 37.81',W 089 29.17',0
