WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 50.80',W 090 03.37',400
2,N 46 02.26',W 090 19.81',400
2,N 46 02.26',W 090 19.81',100
1,N 45 50.80',W 090 03.37',100
1,N 45 50.80',W 090 03.37',400
3,N 46 01.49',W 090 20.91',400
3,N 46 01.49',W 090 20.91',100
1,N 45 50.80',W 090 03.37',100
4,N 45 50.04',W 090 04.47',400
3,N 46 01.49',W 090 20.91',400
3,N 46 01.49',W 090 20.91',100
4,N 45 50.04',W 090 04.47',100
4,N 45 50.04',W 090 04.47',400
6,N 46 00.73',W 090 22.00',400
6,N 46 00.73',W 090 22.00',100
4,N 45 50.04',W 090 04.47',100
5,N 45 49.28',W 090 05.56',400
6,N 46 00.73',W 090 22.00',400
6,N 46 00.73',W 090 22.00',100
5,N 45 49.28',W 090 05.56',100
5,N 45 49.28',W 090 05.56',400
7,N 45 59.97',W 090 23.10',400
7,N 45 59.97',W 090 23.10',100
5,N 45 49.28',W 090 05.56',100
8,N 45 48.51',W 090 06.66',400
7,N 45 59.97',W 090 23.10',400
7,N 45 59.97',W 090 23.10',100
8,N 45 48.51',W 090 06.66',100
8,N 45 48.51',W 090 06.66',400
10,N 45 59.20',W 090 24.20',400
10,N 45 59.20',W 090 24.20',100
8,N 45 48.51',W 090 06.66',100
9,N 45 47.75',W 090 07.76',400
10,N 45 59.20',W 090 24.20',400
10,N 45 59.20',W 090 24.20',100
9,N 45 47.75',W 090 07.76',100
9,N 45 47.75',W 090 07.76',400
11,N 45 58.44',W 090 25.30',400
11,N 45 58.44',W 090 25.30',100
9,N 45 47.75',W 090 07.76',100
12,N 45 46.99',W 090 08.85',400
11,N 45 58.44',W 090 25.30',400
11,N 45 58.44',W 090 25.30',100
12,N 45 46.99',W 090 08.85',100
0,N 45 37.81',W 089 29.17',0
