WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 47.37',W 090 08.33',400
2,N 45 58.82',W 090 24.82',400
2,N 45 58.82',W 090 24.82',100
1,N 45 47.37',W 090 08.33',100
1,N 45 47.37',W 090 08.33',400
3,N 45 59.58',W 090 23.72',400
3,N 45 59.58',W 090 23.72',100
1,N 45 47.37',W 090 08.33',100
4,N 45 48.13',W 090 07.23',400
3,N 45 59.58',W 090 23.72',400
3,N 45 59.58',W 090 23.72',100
4,N 45 48.13',W 090 07.23',100
4,N 45 48.13',W 090 07.23',400
6,N 46 00.35',W 090 22.62',400
6,N 46 00.35',W 090 22.62',100
4,N 45 48.13',W 090 07.23',100
5,N 45 48.89',W 090 06.13',400
6,N 46 00.35',W 090 22.62',400
6,N 46 00.35',W 090 22.62',100
5,N 45 48.89',W 090 06.13',100
5,N 45 48.89',W 090 06.13',400
7,N 46 01.11',W 090 21.52',400
7,N 46 01.11',W 090 21.52',100
5,N 45 48.89',W 090 06.13',100
8,N 45 49.66',W 090 05.04',400
7,N 46 01.11',W 090 21.52',400
7,N 46 01.11',W 090 21.52',100
8,N 45 49.66',W 090 05.04',100
8,N 45 49.66',W 090 05.04',400
10,N 46 01.88',W 090 20.42',400
10,N 46 01.88',W 090 20.42',100
8,N 45 49.66',W 090 05.04',100
9,N 45 50.42',W 090 03.94',400
10,N 46 01.88',W 090 20.42',400
10,N 46 01.88',W 090 20.42',100
9,N 45 50.42',W 090 03.94',100
9,N 45 50.42',W 090 03.94',400
11,N 46 02.64',W 090 19.32',400
11,N 46 02.64',W 090 19.32',100
9,N 45 50.42',W 090 03.94',100
12,N 45 51.19',W 090 02.85',400
11,N 46 02.64',W 090 19.32',400
11,N 46 02.64',W 090 19.32',100
12,N 45 51.19',W 090 02.85',100
0,N 45 37.81',W 089 29.17',0
