WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 48.49',W 090 14.03',400
2,N 46 02.52',W 090 25.71',400
2,N 46 02.52',W 090 25.71',100
1,N 45 48.49',W 090 14.03',100
1,N 45 48.49',W 090 14.03',400
3,N 46 03.06',W 090 24.36',400
3,N 46 03.06',W 090 24.36',100
1,N 45 48.49',W 090 14.03',100
4,N 45 49.03',W 090 12.69',400
3,N 46 03.06',W 090 24.36',400
3,N 46 03.06',W 090 24.36',100
4,N 45 49.03',W 090 12.69',100
4,N 45 49.03',W 090 12.69',400
6,N 46 03.60',W 090 23.01',400
6,N 46 03.60',W 090 23.01',100
4,N 45 49.03',W 090 12.69',100
5,N 45 49.57',W 090 11.34',400
6,N 46 03.60',W 090 23.01',400
6,N 46 03.60',W 090 23.01',100
5,N 45 49.57',W 090 11.34',100
5,N 45 49.57',W 090 11.34',400
7,N 46 04.14',W 090 21.67',400
7,N 46 04.14',W 090 21.67',100
5,N 45 49.57',W 090 11.34',100
8,N 45 50.11',W 090 10.00',400
7,N 46 04.14',W 090 21.67',400
7,N 46 04.14',W 090 21.67',100
8,N 45 50.11',W 090 10.00',100
8,N 45 50.11',W 090 10.00',400
10,N 46 04.68',W 090 20.32',400
10,N 46 04.68',W 090 20.32',100
8,N 45 50.11',W 090 10.00',100
9,N 45 50.65',W 090 08.66',400
10,N 46 04.68',W 090 20.32',400
10,N 46 04.68',W 090 20.32',100
9,N 45 50.65',W 090 08.66',100
9,N 45 50.65',W 090 08.66',400
11,N 46 05.22',W 090 18.97',400
11,N 46 05.22',W 090 18.97',100
9,N 45 50.65',W 090 08.66',100
12,N 45 51.19',W 090 07.32',400
11,N 46 05.22',W 090 18.97',400
11,N 46 05.22',W 090 18.97',100
12,N 45 51.19',W 090 07.32',100
0,N 45 37.81',W 089 29.17',0
