WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 51.06',W 090 07.64',400
2,N 46 05.08',W 090 19.25',400
2,N 46 05.08',W 090 19.25',100
1,N 45 51.06',W 090 07.64',100
1,N 45 51.06',W 090 07.64',400
3,N 46 04.54',W 090 20.60',400
3,N 46 04.54',W 090 20.60',100
1,N 45 51.06',W 090 07.64',100
4,N 45 50.52',W 090 08.98',400
3,N 46 04.54',W 090 20.60',400
3,N 46 04.54',W 090 20.60',100
4,N 45 50.52',W 090 08.98',100
4,N 45 50.52',W 090 08.98',400
6,N 46 04.00',W 090 21.95',400
6,N 46 04.00',W 090 21.95',100
4,N 45 50.52',W 090 08.98',100
5,N 45 49.98',W 090 10.32',400
6,N 46 04.00',W 090 21.95',400
6,N 46 04.00',W 090 21.95',100
5,N 45 49.98',W 090 10.32',100
5,N 45 49.98',W 090 10.32',400
7,N 46 03.46',W 090 23.29',400
7,N 46 03.46',W 090 23.29',100
5,N 45 49.98',W 090 10.32',100
8,N 45 49.44',W 090 11.66',400
7,N 46 03.46',W 090 23.29',400
7,N 46 03.46',W 090 23.29',100
8,N 45 49.44',W 090 11.66',100
8,N 45 49.44',W 090 11.66',400
10,N 46 02.92',W 090 24.64',400
10,N 46 02.92',W 090 24.64',100
8,N 45 49.44',W 090 11.66',100
9,N 45 48.90',W 090 13.00',400
10,N 46 02.92',W 090 24.64',400
10,N 46 02.92',W 090 24.64',100
9,N 45 48.90',W 090 13.00',100
9,N 45 48.90',W 090 13.00',400
11,N 46 02.38',W 090 25.99',400
11,N 46 02.38',W 090 25.99',100
9,N 45 48.90',W 090 13.00',100
12,N 45 48.36',W 090 14.35',400
11,N 46 02.38',W 090 25.99',400
11,N 46 02.38',W 090 25.99',100
12,N 45 48.36',W 090 14.35',100
0,N 45 37.81',W 089 29.17',0
