WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 50.99',W 090 03.10',400
2,N 46 02.45',W 090 19.53',400
2,N 46 02.45',W 090 19.53',100
1,N 45 50.99',W 090 03.10',100
1,N 45 50.99',W 090 03.10',400
3,N 46 01.68',W 090 20.63',400
3,N 46 01.68',W 090 20.63',100
1,N 45 50.99',W 090 03.10',100
4,N 45 50.23',W 090 04.19',400
3,N 46 01.68',W 090 20.63',400
3,N 46 01.68',W 090 20.63',100
4,N 45 50.23',W 090 04.19',100
4,N 45 50.23',W 090 04.19',400
6,N 46 00.92',W 090 21.73',400
6,N 46 00.92',W 090 21.73',100
4,N 45 50.23',W 090 04.19',100
5,N 45 49.47',W 090 05.29',400
6,N 46 00.92',W 090 21.73',400
6,N 46 00.92',W 090 21.73',100
5,N 45 49.47',W 090 05.29',100
5,N 45 49.47',W 090 05.29',400
7,N 46 00.16',W 090 22.83',400
7,N 46 00.16',W 090 22.83',100
5,N 45 49.47',W 090 05.29',100
8,N 45 48.70',W 090 06.38',400
7,N 46 00.16',W 090 22.83',400
7,N 46 00.16',W 090 22.83',100
8,N 45 48.70',W 090 06.38',100
8,N 45 48.70',W 090 06.38',400
10,N 45 59.39',W 090 23.93',400
10,N 45 59.39',W 090 23.93',100
8,N 45 48.70',W 090 06.38',100
9,N 45 47.94',W 090 07.48',400
10,N 45 59.39',W 090 23.93',400
10,N 45 59.39',W 090 23.93',100
9,N 45 47.94',W 090 07.48',100
9,N 45 47.94',W 090 07.48',400
11,N 45 58.63',W 090 25.03',400
11,N 45 58.63',W 090 25.03',100
9,N 45 47.94',W 090 07.48',100
12,N 45 47.18',W 090 08.58',400
11,N 45 58.63',W 090 25.03',400
11,N 45 58.63',W 090 25.03',100
12,N 45 47.18',W 090 08.58',100
0,N 45 37.81',W 089 29.17',0
