WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 54.02',W 090 01.30',400
2,N 45 54.02',W 090 24.61',400
2,N 45 54.02',W 090 24.61',100
1,N 45 54.02',W 090 01.30',100
1,N 45 54.02',W 090 01.30',400
3,N 45 55.10',W 090 24.61',400
3,N 45 55.10',W 090 24.61',100
1,N 45 54.02',W 090 01.30',100
4,N 45 55.10',W 090 01.30',400
3,N 45 55.10',W 090 24.61',400
3,N 45 55.10',W 090 24.61',100
4,N 45 55.10',W 090 01.30',100
4,N 45 55.10',W 090 01.30',400
6,N 45 56.18',W 090 24.61',400
6,N 45 56.18',W 090 24.61',100
4,N 45 55.10',W 090 01.30',100
5,N 45 56.18',W 090 01.30',400
6,N 45 56.18',W 090 24.61',400
6,N 45 56.18',W 090 24.61',100
5,N 45 56.18',W 090 01.30',100
5,N 45 56.18',W 090 01.30',400
7,N 45 57.26',W 090 24.61',400
7,N 45 57.26',W 090 24.61',100
5,N 45 56.18',W 090 01.30',100
8,N 45 57.26',W 090 01.30',400
7,N 45 57.26',W 090 24.61',400
7,N 45 57.26',W 090 24.61',100
8,N 45 57.26',W 090 01.30',100
8,N 45 57.26',W 090 01.30',400
10,N 45 58.34',W 090 24.61',400
10,N 45 58.34',W 090 24.61',100
8,N 45 57.26',W 090 01.30',100
9,N 45 58.34',W 090 01.30',400
10,N 45 58.34',W 090 24.61',400
10,N 45 58.34',W 090 24.61',100
9,N 45 58.34',W 090 01.30',100
9,N 45 58.34',W 090 01.30',400
11,N 45 59.42',W 090 24.61',400
11,N 45 59.42',W 090 24.61',100
9,N 45 58.34',W 090 01.30',100
12,N 45 59.42',W 090 01.30',400
11,N 45 59.42',W 090 24.61',400
11,N 45 59.42',W 090 24.61',100
12,N 45 59.42',W 090 01.30',100
0,N 45 37.81',W 089 29.17',0
