WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 02.45',W 090 03.09',400
2,N 45 50.99',W 090 19.60',400
2,N 45 50.99',W 090 19.60',100
1,N 46 02.45',W 090 03.09',100
1,N 46 02.45',W 090 03.09',400
3,N 45 51.76',W 090 20.69',400
3,N 45 51.76',W 090 20.69',100
1,N 46 02.45',W 090 03.09',100
4,N 46 03.21',W 090 04.19',400
3,N 45 51.76',W 090 20.69',400
3,N 45 51.76',W 090 20.69',100
4,N 46 03.21',W 090 04.19',100
4,N 46 03.21',W 090 04.19',400
6,N 45 52.52',W 090 21.79',400
6,N 45 52.52',W 090 21.79',100
4,N 46 03.21',W 090 04.19',100
5,N 46 03.97',W 090 05.29',400
6,N 45 52.52',W 090 21.79',400
6,N 45 52.52',W 090 21.79',100
5,N 46 03.97',W 090 05.29',100
5,N 46 03.97',W 090 05.29',400
7,N 45 53.28',W 090 22.89',400
7,N 45 53.28',W 090 22.89',100
5,N 46 03.97',W 090 05.29',100
8,N 46 04.74',W 090 06.39',400
7,N 45 53.28',W 090 22.89',400
7,N 45 53.28',W 090 22.89',100
8,N 46 04.74',W 090 06.39',100
8,N 46 04.74',W 090 06.39',400
10,N 45 54.05',W 090 23.98',400
10,N 45 54.05',W 090 23.98',100
8,N 46 04.74',W 090 06.39',100
9,N 46 05.50',W 090 07.49',400
10,N 45 54.05',W 090 23.98',400
10,N 45 54.05',W 090 23.98',100
9,N 46 05.50',W 090 07.49',100
9,N 46 05.50',W 090 07.49',400
11,N 45 54.81',W 090 25.08',400
11,N 45 54.81',W 090 25.08',100
9,N 46 05.50',W 090 07.49',100
12,N 46 06.27',W 090 08.59',400
11,N 45 54.81',W 090 25.08',400
11,N 45 54.81',W 090 25.08',100
12,N 46 06.27',W 090 08.59',100
0,N 45 37.81',W 089 29.17',0
