WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 47.18',W 090 08.60',400
2,N 45 58.63',W 090 25.09',400
2,N 45 58.63',W 090 25.09',100
1,N 45 47.18',W 090 08.60',100
1,N 45 47.18',W 090 08.60',400
3,N 45 59.39',W 090 23.99',400
3,N 45 59.39',W 090 23.99',100
1,N 45 47.18',W 090 08.60',100
4,N 45 47.94',W 090 07.51',400
3,N 45 59.39',W 090 23.99',400
3,N 45 59.39',W 090 23.99',100
4,N 45 47.94',W 090 07.51',100
4,N 45 47.94',W 090 07.51',400
6,N 46 00.16',W 090 22.89',400
6,N 46 00.16',W 090 22.89',100
4,N 45 47.94',W 090 07.51',100
5,N 45 48.70',W 090 06.41',400
6,N 46 00.16',W 090 22.89',400
6,N 46 00.16',W 090 22.89',100
5,N 45 48.70',W 090 06.41',100
5,N 45 48.70',W 090 06.41',400
7,N 46 00.92',W 090 21.79',400
7,N 46 00.92',W 090 21.79',100
5,N 45 48.70',W 090 06.41',100
8,N 45 49.47',W 090 05.31',400
7,N 46 00.92',W 090 21.79',400
7,N 46 00.92',W 090 21.79',100
8,N 45 49.47',W 090 05.31',100
8,N 45 49.47',W 090 05.31',400
10,N 46 01.68',W 090 20.69',400
10,N 46 01.68',W 090 20.69',100
8,N 45 49.47',W 090 05.31',100
9,N 45 50.23',W 090 04.22',400
10,N 46 01.68',W 090 20.69',400
10,N 46 01.68',W 090 20.69',100
9,N 45 50.23',W 090 04.22',100
9,N 45 50.23',W 090 04.22',400
11,N 46 02.45',W 090 19.59',400
11,N 46 02.45',W 090 19.59',100
9,N 45 50.23',W 090 04.22',100
12,N 45 50.99',W 090 03.12',400
11,N 46 02.45',W 090 19.59',400
11,N 46 02.45',W 090 19.59',100
12,N 45 50.99',W 090 03.12',100
0,N 45 37.81',W 089 29.17',0
