WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 48.62',W 090 20.70',400
2,N 46 04.82',W 090 20.70',400
2,N 46 04.82',W 090 20.70',100
1,N 45 48.62',W 090 20.70',100
1,N 45 48.62',W 090 20.70',400
3,N 46 04.82',W 090 19.15',400
3,N 46 04.82',W 090 19.15',100
1,N 45 48.62',W 090 20.70',100
4,N 45 48.62',W 090 19.15',400
3,N 46 04.82',W 090 19.15',400
3,N 46 04.82',W 090 19.15',100
4,N 45 48.62',W 090 19.15',100
4,N 45 48.62',W 090 19.15',400
6,N 46 04.82',W 090 17.60',400
6,N 46 04.82',W 090 17.60',100
4,N 45 48.62',W 090 19.15',100
5,N 45 48.62',W 090 17.60',400
6,N 46 04.82',W 090 17.60',400
6,N 46 04.82',W 090 17.60',100
5,N 45 48.62',W 090 17.60',100
5,N 45 48.62',W 090 17.60',400
7,N 46 04.82',W 090 16.05',400
7,N 46 04.82',W 090 16.05',100
5,N 45 48.62',W 090 17.60',100
8,N 45 48.62',W 090 16.05',400
7,N 46 04.82',W 090 16.05',400
7,N 46 04.82',W 090 16.05',100
8,N 45 48.62',W 090 16.05',100
8,N 45 48.62',W 090 16.05',400
10,N 46 04.82',W 090 14.50',400
10,N 46 04.82',W 090 14.50',100
8,N 45 48.62',W 090 16.05',100
9,N 45 48.62',W 090 14.50',400
10,N 46 04.82',W 090 14.50',400
10,N 46 04.82',W 090 14.50',100
9,N 45 48.62',W 090 14.50',100
9,N 45 48.62',W 090 14.50',400
11,N 46 04.82',W 090 12.95',400
11,N 46 04.82',W 090 12.95',100
9,N 45 48.62',W 090 14.50',100
12,N 45 48.62',W 090 12.95',400
11,N 46 04.82',W 090 12.95',400
11,N 46 04.82',W 090 12.95',100
12,N 45 48.62',W 090 12.95',100
0,N 45 37.81',W 089 29.17',0
