WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 00.73',W 090 06.11',400
2,N 45 49.28',W 090 22.61',400
2,N 45 49.28',W 090 22.61',100
1,N 46 00.73',W 090 06.11',100
3,N 45 50.04',W 090 23.71',400
4,N 46 01.49',W 090 07.21',400
4,N 46 01.49',W 090 07.21',100
3,N 45 50.04',W 090 23.71',100
5,N 46 02.26',W 090 08.31',400
6,N 45 50.80',W 090 24.80',400
6,N 45 50.80',W 090 24.80',100
5,N 46 02.26',W 090 08.31',100
7,N 45 51.57',W 090 25.90',400
8,N 46 03.02',W 090 09.41',400
8,N 46 03.02',W 090 09.41',100
7,N 45 51.57',W 090 25.90',100
9,N 46 03.78',W 090 10.51',400
10,N 45 52.33',W 090 26.99',400
10,N 45 52.33',W 090 26.99',100
9,N 46 03.78',W 090 10.51',100
11,N 45 53.09',W 090 28.09',400
12,N 46 04.55',W 090 11.61',400
12,N 46 04.55',W 090 11.61',100
11,N 45 53.09',W 090 28.09',100
0,N 45 37.81',W 089 29.17',0
