WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 48.62',W 090 20.31',400
2,N 46 04.82',W 090 20.31',400
2,N 46 04.82',W 090 20.31',100
1,N 45 48.62',W 090 20.31',100
3,N 46 04.82',W 090 18.76',400
4,N 45 48.62',W 090 18.76',400
4,N 45 48.62',W 090 18.76',100
3,N 46 04.82',W 090 18.76',100
5,N 45 48.62',W 090 17.21',400
6,N 46 04.82',W 090 17.21',400
6,N 46 04.82',W 090 17.21',100
5,N 45 48.62',W 090 17.21',100
7,N 46 04.82',W 090 15.66',400
8,N 45 48.62',W 090 15.66',400
8,N 45 48.62',W 090 15.66',100
7,N 46 04.82',W 090 15.66',100
9,N 45 48.62',W 090 14.12',400
10,N 46 04.82',W 090 14.12',400
10,N 46 04.82',W 090 14.12',100
9,N 45 48.62',W 090 14.12',100
11,N 46 04.82',W 090 12.57',400
12,N 45 48.62',W 090 12.57',400
12,N 45 48.62',W 090 12.57',100
11,N 46 04.82',W 090 12.57',100
0,N 45 37.81',W 089 29.17',0
