WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 48.62',W 090 13.32',400
2,N 46 04.82',W 090 13.32',400
2,N 46 04.82',W 090 13.32',100
1,N 45 48.62',W 090 13.32',100
3,N 46 04.82',W 090 14.87',400
4,N 45 48.62',W 090 14.87',400
4,N 45 48.62',W 090 14.87',100
3,N 46 04.82',W 090 14.87',100
5,N 45 48.62',W 090 16.42',400
6,N 46 04.82',W 090 16.42',400
6,N 46 04.82',W 090 16.42',100
5,N 45 48.62',W 090 16.42',100
7,N 46 04.82',W 090 17.97',400
8,N 45 48.62',W 090 17.97',400
8,N 45 48.62',W 090 17.97',100
7,N 46 04.82',W 090 17.97',100
9,N 45 48.62',W 090 19.52',400
10,N 46 04.82',W 090 19.52',400
10,N 46 04.82',W 090 19.52',100
9,N 45 48.62',W 090 19.52',100
11,N 46 04.82',W 090 21.07',400
12,N 45 48.62',W 090 21.07',400
12,N 45 48.62',W 090 21.07',100
11,N 46 04.82',W 090 21.07',100
0,N 45 37.81',W 089 29.17',0
