WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 50.92',W 090 07.97',400
2,N 46 04.95',W 090 19.59',400
2,N 46 04.95',W 090 19.59',100
1,N 45 50.92',W 090 07.97',100
1,N 45 50.92',W 090 07.97',400
3,N 46 04.41',W 090 20.93',400
3,N 46 04.41',W 090 20.93',100
1,N 45 50.92',W 090 07.97',100
4,N 45 50.38',W 090 09.31',400
3,N 46 04.41',W 090 20.93',400
3,N 46 04.41',W 090 20.93',100
4,N 45 50.38',W 090 09.31',100
4,N 45 50.38',W 090 09.31',400
6,N 46 03.87',W 090 22.28',400
6,N 46 03.87',W 090 22.28',100
4,N 45 50.38',W 090 09.31',100
5,N 45 49.84',W 090 10.66',400
6,N 46 03.87',W 090 22.28',400
6,N 46 03.87',W 090 22.28',100
5,N 45 49.84',W 090 10.66',100
5,N 45 49.84',W 090 10.66',400
7,N 46 03.33',W 090 23.63',400
7,N 46 03.33',W 090 23.63',100
5,N 45 49.84',W 090 10.66',100
8,N 45 49.30',W 090 12.00',400
7,N 46 03.33',W 090 23.63',400
7,N 46 03.33',W 090 23.63',100
8,N 45 49.30',W 090 12.00',100
8,N 45 49.30',W 090 12.00',400
10,N 46 02.79',W 090 24.98',400
10,N 46 02.79',W 090 24.98',100
8,N 45 49.30',W 090 12.00',100
9,N 45 48.76',W 090 13.34',400
10,N 46 02.79',W 090 24.98',400
10,N 46 02.79',W 090 24.98',100
9,N 45 48.76',W 090 13.34',100
9,N 45 48.76',W 090 13.34',400
11,N 46 02.25',W 090 26.32',400
11,N 46 02.25',W 090 26.32',100
9,N 45 48.76',W 090 13.34',100
12,N 45 48.22',W 090 14.68',400
11,N 46 02.25',W 090 26.32',400
11,N 46 02.25',W 090 26.32',100
12,N 45 48.22',W 090 14.68',100
0,N 45 37.81',W 089 29.17',0
