WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 02.64',W 090 03.36',400
2,N 45 51.19',W 090 19.87',400
2,N 45 51.19',W 090 19.87',100
1,N 46 02.64',W 090 03.36',100
1,N 46 02.64',W 090 03.36',400
3,N 45 51.95',W 090 20.97',400
3,N 45 51.95',W 090 20.97',100
1,N 46 02.64',W 090 03.36',100
4,N 46 03.40',W 090 04.46',400
3,N 45 51.95',W 090 20.97',400
3,N 45 51.95',W 090 20.97',100
4,N 46 03.40',W 090 04.46',100
4,N 46 03.40',W 090 04.46',400
6,N 45 52.71',W 090 22.06',400
6,N 45 52.71',W 090 22.06',100
4,N 46 03.40',W 090 04.46',100
5,N 46 04.17',W 090 05.56',400
6,N 45 52.71',W 090 22.06',400
6,N 45 52.71',W 090 22.06',100
5,N 46 04.17',W 090 05.56',100
5,N 46 04.17',W 090 05.56',400
7,N 45 53.48',W 090 23.16',400
7,N 45 53.48',W 090 23.16',100
5,N 46 04.17',W 090 05.56',100
8,N 46 04.93',W 090 06.66',400
7,N 45 53.48',W 090 23.16',400
7,N 45 53.48',W 090 23.16',100
8,N 46 04.93',W 090 06.66',100
8,N 46 04.93',W 090 06.66',400
10,N 45 54.24',W 090 24.26',400
10,N 45 54.24',W 090 24.26',100
8,N 46 04.93',W 090 06.66',100
9,N 46 05.69',W 090 07.76',400
10,N 45 54.24',W 090 24.26',400
10,N 45 54.24',W 090 24.26',100
9,N 46 05.69',W 090 07.76',100
9,N 46 05.69',W 090 07.76',400
11,N 45 55.00',W 090 25.35',400
11,N 45 55.00',W 090 25.35',100
9,N 46 05.69',W 090 07.76',100
12,N 46 06.46',W 090 08.86',400
11,N 45 55.00',W 090 25.35',400
11,N 45 55.00',W 090 25.35',100
12,N 46 06.46',W 090 08.86',100
0,N 45 37.81',W 089 29.17',0
