WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 50.92',W 090 25.66',400
2,N 46 04.95',W 090 14.05',400
2,N 46 04.95',W 090 14.05',100
1,N 45 50.92',W 090 25.66',100
1,N 45 50.92',W 090 25.66',400
3,N 46 04.41',W 090 12.70',400
3,N 46 04.41',W 090 12.70',100
1,N 45 50.92',W 090 25.66',100
4,N 45 50.38',W 090 24.32',400
3,N 46 04.41',W 090 12.70',400
3,N 46 04.41',W 090 12.70',100
4,N 45 50.38',W 090 24.32',100
4,N 45 50.38',W 090 24.32',400
6,N 46 03.87',W 090 11.35',400
6,N 46 03.87',W 090 11.35',100
4,N 45 50.38',W 090 24.32',100
5,N 45 49.84',W 090 22.98',400
6,N 46 03.87',W 090 11.35',400
6,N 46 03.87',W 090 11.35',100
5,N 45 49.84',W 090 22.98',100
5,N 45 49.84',W 090 22.98',400
7,N 46 03.33',W 090 10.01',400
7,N 46 03.33',W 090 10.01',100
5,N 45 49.84',W 090 22.98',100
8,N 45 49.30',W 090 21.64',400
7,N 46 03.33',W 090 10.01',400
7,N 46 03.33',W 090 10.01',100
8,N 45 49.30',W 090 21.64',100
8,N 45 49.30',W 090 21.64',400
10,N 46 02.79',W 090 08.66',400
10,N 46 02.79',W 090 08.66',100
8,N 45 49.30',W 090 21.64',100
9,N 45 48.76',W 090 20.30',400
10,N 46 02.79',W 090 08.66',400
10,N 46 02.79',W 090 08.66',100
9,N 45 48.76',W 090 20.30',100
9,N 45 48.76',W 090 20.30',400
11,N 46 02.25',W 090 07.31',400
11,N 46 02.25',W 090 07.31',100
9,N 45 48.76',W 090 20.30',100
12,N 45 48.22',W 090 18.95',400
11,N 46 02.25',W 090 07.31',400
11,N 46 02.25',W 090 07.31',100
12,N 45 48.22',W 090 18.95',100
0,N 45 37.81',W 089 29.17',0
