WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 04.17',W 090 11.04',400
2,N 45 52.71',W 090 27.48',400
2,N 45 52.71',W 090 27.48',100
1,N 46 04.17',W 090 11.04',100
3,N 45 51.95',W 090 26.39',400
4,N 46 03.40',W 090 09.94',400
4,N 46 03.40',W 090 09.94',100
3,N 45 51.95',W 090 26.39',100
5,N 46 02.64',W 090 08.84',400
6,N 45 51.19',W 090 25.29',400
6,N 45 51.19',W 090 25.29',100
5,N 46 02.64',W 090 08.84',100
7,N 45 50.42',W 090 24.20',400
8,N 46 01.88',W 090 07.74',400
8,N 46 01.88',W 090 07.74',100
7,N 45 50.42',W 090 24.20',100
9,N 46 01.11',W 090 06.64',400
10,N 45 49.66',W 090 23.10',400
10,N 45 49.66',W 090 23.10',100
9,N 46 01.11',W 090 06.64',100
11,N 45 48.89',W 090 22.00',400
12,N 46 00.35',W 090 05.54',400
12,N 46 00.35',W 090 05.54',100
11,N 45 48.89',W 090 22.00',100
0,N 45 37.81',W 089 29.17',0
