WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 54.29',W 090 05.18',400
2,N 45 54.29',W 090 28.49',400
2,N 45 54.29',W 090 28.49',100
1,N 45 54.29',W 090 05.18',100
3,N 45 55.37',W 090 28.49',400
4,N 45 55.37',W 090 05.18',400
4,N 45 55.37',W 090 05.18',100
3,N 45 55.37',W 090 28.49',100
5,N 45 56.45',W 090 05.18',400
6,N 45 56.45',W 090 28.49',400
6,N 45 56.45',W 090 28.49',100
5,N 45 56.45',W 090 05.18',100
7,N 45 57.53',W 090 28.49',400
8,N 45 57.53',W 090 05.18',400
8,N 45 57.53',W 090 05.18',100
7,N 45 57.53',W 090 28.49',100
9,N 45 58.61',W 090 05.18',400
10,N 45 58.61',W 090 28.49',400
10,N 45 58.61',W 090 28.49',100
9,N 45 58.61',W 090 05.18',100
11,N 45 59.69',W 090 28.49',400
12,N 45 59.69',W 090 05.18',400
12,N 45 59.69',W 090 05.18',100
11,N 45 59.69',W 090 28.49',100
0,N 45 37.81',W 089 29.17',0
