WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 49.28',W 090 11.06',400
2,N 46 00.73',W 090 27.56',400
2,N 46 00.73',W 090 27.56',100
1,N 45 49.28',W 090 11.06',100
3,N 46 01.49',W 090 26.47',400
4,N 45 50.04',W 090 09.97',400
4,N 45 50.04',W 090 09.97',100
3,N 46 01.49',W 090 26.47',100
5,N 45 50.80',W 090 08.87',400
6,N 46 02.26',W 090 25.37',400
6,N 46 02.26',W 090 25.37',100
5,N 45 50.80',W 090 08.87',100
7,N 46 03.02',W 090 24.27',400
8,N 45 51.57',W 090 07.78',400
8,N 45 51.57',W 090 07.78',100
7,N 46 03.02',W 090 24.27',100
9,N 45 52.33',W 090 06.68',400
10,N 46 03.78',W 090 23.16',400
10,N 46 03.78',W 090 23.16',100
9,N 45 52.33',W 090 06.68',100
11,N 46 04.55',W 090 22.06',400
12,N 45 53.09',W 090 05.58',400
12,N 45 53.09',W 090 05.58',100
11,N 46 04.55',W 090 22.06',100
0,N 45 37.81',W 089 29.17',0
