WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 52.71',W 090 06.11',400
2,N 46 04.17',W 090 22.56',400
2,N 46 04.17',W 090 22.56',100
1,N 45 52.71',W 090 06.11',100
3,N 46 03.40',W 090 23.66',400
4,N 45 51.95',W 090 07.21',400
4,N 45 51.95',W 090 07.21',100
3,N 46 03.40',W 090 23.66',100
5,N 45 51.19',W 090 08.31',400
6,N 46 02.64',W 090 24.76',400
6,N 46 02.64',W 090 24.76',100
5,N 45 51.19',W 090 08.31',100
7,N 46 01.88',W 090 25.86',400
8,N 45 50.42',W 090 09.40',400
8,N 45 50.42',W 090 09.40',100
7,N 46 01.88',W 090 25.86',100
9,N 45 49.66',W 090 10.50',400
10,N 46 01.11',W 090 26.96',400
10,N 46 01.11',W 090 26.96',100
9,N 45 49.66',W 090 10.50',100
11,N 46 00.35',W 090 28.06',400
12,N 45 48.89',W 090 11.59',400
12,N 45 48.89',W 090 11.59',100
11,N 46 00.35',W 090 28.06',100
0,N 45 37.81',W 089 29.17',0
