WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 48.62',W 090 12.94',400
2,N 46 04.82',W 090 12.94',400
2,N 46 04.82',W 090 12.94',100
1,N 45 48.62',W 090 12.94',100
1,N 45 48.62',W 090 12.94',400
3,N 46 04.82',W 090 14.48',400
3,N 46 04.82',W 090 14.48',100
1,N 45 48.62',W 090 12.94',100
4,N 45 48.62',W 090 14.48',400
3,N 46 04.82',W 090 14.48',400
3,N 46 04.82',W 090 14.48',100
4,N 45 48.62',W 090 14.48',100
4,N 45 48.62',W 090 14.48',400
6,N 46 04.82',W 090 16.03',400
6,N 46 04.82',W 090 16.03',100
4,N 45 48.62',W 090 14.48',100
5,N 45 48.62',W 090 16.03',400
6,N 46 04.82',W 090 16.03',400
6,N 46 04.82',W 090 16.03',100
5,N 45 48.62',W 090 16.03',100
5,N 45 48.62',W 090 16.03',400
7,N 46 04.82',W 090 17.58',400
7,N 46 04.82',W 090 17.58',100
5,N 45 48.62',W 090 16.03',100
8,N 45 48.62',W 090 17.58',400
7,N 46 04.82',W 090 17.58',400
7,N 46 04.82',W 090 17.58',100
8,N 45 48.62',W 090 17.58',100
8,N 45 48.62',W 090 17.58',400
10,N 46 04.82',W 090 19.13',400
10,N 46 04.82',W 090 19.13',100
8,N 45 48.62',W 090 17.58',100
9,N 45 48.62',W 090 19.13',400
10,N 46 04.82',W 090 19.13',400
10,N 46 04.82',W 090 19.13',100
9,N 45 48.62',W 090 19.13',100
9,N 45 48.62',W 090 19.13',400
11,N 46 04.82',W 090 20.68',400
11,N 46 04.82',W 090 20.68',100
9,N 45 48.62',W 090 19.13',100
12,N 45 48.62',W 090 20.68',400
11,N 46 04.82',W 090 20.68',400
11,N 46 04.82',W 090 20.68',100
12,N 45 48.62',W 090 20.68',100
0,N 45 37.81',W 089 29.17',0
