WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 02.38',W 090 07.63',400
2,N 45 48.36',W 090 19.31',400
2,N 45 48.36',W 090 19.31',100
1,N 46 02.38',W 090 07.63',100
1,N 46 02.38',W 090 07.63',400
3,N 45 48.90',W 090 20.65',400
3,N 45 48.90',W 090 20.65',100
1,N 46 02.38',W 090 07.63',100
4,N 46 02.92',W 090 08.98',400
3,N 45 48.90',W 090 20.65',400
3,N 45 48.90',W 090 20.65',100
4,N 46 02.92',W 090 08.98',100
4,N 46 02.92',W 090 08.98',400
6,N 45 49.44',W 090 21.99',400
6,N 45 49.44',W 090 21.99',100
4,N 46 02.92',W 090 08.98',100
5,N 46 03.46',W 090 10.32',400
6,N 45 49.44',W 090 21.99',400
6,N 45 49.44',W 090 21.99',100
5,N 46 03.46',W 090 10.32',100
5,N 46 03.46',W 090 10.32',400
7,N 45 49.98',W 090 23.33',400
7,N 45 49.98',W 090 23.33',100
5,N 46 03.46',W 090 10.32',100
8,N 46 04.00',W 090 11.67',400
7,N 45 49.98',W 090 23.33',400
7,N 45 49.98',W 090 23.33',100
8,N 46 04.00',W 090 11.67',100
8,N 46 04.00',W 090 11.67',400
10,N 45 50.52',W 090 24.68',400
10,N 45 50.52',W 090 24.68',100
8,N 46 04.00',W 090 11.67',100
9,N 46 04.54',W 090 13.02',400
10,N 45 50.52',W 090 24.68',400
10,N 45 50.52',W 090 24.68',100
9,N 46 04.54',W 090 13.02',100
9,N 46 04.54',W 090 13.02',400
11,N 45 51.06',W 090 26.02',400
11,N 45 51.06',W 090 26.02',100
9,N 46 04.54',W 090 13.02',100
12,N 46 05.08',W 090 14.37',400
11,N 45 51.06',W 090 26.02',400
11,N 45 51.06',W 090 26.02',100
12,N 46 05.08',W 090 14.37',100
0,N 45 37.81',W 089 29.17',0
