WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 46 06.07',W 090 08.29',400
2,N 45 54.62',W 090 24.74',400
2,N 45 54.62',W 090 24.74',100
1,N 46 06.07',W 090 08.29',100
1,N 46 06.07',W 090 08.29',400
3,N 45 53.86',W 090 23.64',400
3,N 45 53.86',W 090 23.64',100
1,N 46 06.07',W 090 08.29',100
4,N 46 05.31',W 090 07.19',400
3,N 45 53.86',W 090 23.64',400
3,N 45 53.86',W 090 23.64',100
4,N 46 05.31',W 090 07.19',100
4,N 46 05.31',W 090 07.19',400
6,N 45 53.09',W 090 22.55',400
6,N 45 53.09',W 090 22.55',100
4,N 46 05.31',W 090 07.19',100
5,N 46 04.55',W 090 06.09',400
6,N 45 53.09',W 090 22.55',400
6,N 45 53.09',W 090 22.55',100
5,N 46 04.55',W 090 06.09',100
5,N 46 04.55',W 090 06.09',400
7,N 45 52.33',W 090 21.45',400
7,N 45 52.33',W 090 21.45',100
5,N 46 04.55',W 090 06.09',100
8,N 46 03.78',W 090 04.99',400
7,N 45 52.33',W 090 21.45',400
7,N 45 52.33',W 090 21.45',100
8,N 46 03.78',W 090 04.99',100
8,N 46 03.78',W 090 04.99',400
10,N 45 51.57',W 090 20.35',400
10,N 45 51.57',W 090 20.35',100
8,N 46 03.78',W 090 04.99',100
9,N 46 03.02',W 090 03.89',400
10,N 45 51.57',W 090 20.35',400
10,N 45 51.57',W 090 20.35',100
9,N 46 03.02',W 090 03.89',100
9,N 46 03.02',W 090 03.89',400
11,N 45 50.80',W 090 19.26',400
11,N 45 50.80',W 090 19.26',100
9,N 46 03.02',W 090 03.89',100
12,N 46 02.26',W 090 02.79',400
11,N 45 50.80',W 090 19.26',400
11,N 45 50.80',W 090 19.26',100
12,N 46 02.26',W 090 02.79',100
0,N 45 37.81',W 089 29.17',0
